show_id,director_id
s1713,143
s1714,1110
s1715,758
s1716,1111
s1721,1112
s1722,1113
s1722,1114
s1726,1115
s1728,1116
s1729,1117
s1729,1118
s1729,1119
s1730,1120
s1732,1121
s1733,458
s1734,1122
s1735,1123
s1736,1124
s1737,1125
s1740,1099
s1742,1126
s1743,1127
s1744,1128
s1745,1129
s1748,1130
s1748,1131
s1750,1132
s1752,1133
s1753,1133
s1754,1134
s1762,1135
s1763,1136
s1764,1137
s1765,799
s1768,917
s1769,1138
s1771,1023
s1772,1139
s1773,1140
s1775,1141
s1776,1142
s1777,1143
s1778,1144
s1781,1145
s1784,1146
s1785,1147
s1786,1148
s1787,1149
s1788,1150
s1789,1151
s1790,1152
s1793,1153
s1794,1154
s1795,1155
s1795,1156
s1796,1157
s1797,1158
s1798,1159
s1799,1160
s1801,1161
s1801,1162
s1802,1163
s1803,1164
s1806,1165
s1806,1166
s1807,1167
s1808,1168
s1809,1169
s1810,986
s1811,1170
s1812,1171
s1813,1172
s1815,1173
s1816,981
s1817,514
s1818,1174
s1819,1175
s1820,1176
s1821,1175
s1822,1175
s1823,1174
s1824,1177
s1825,1178
s1826,1179
s1827,1174
s1828,1175
s1830,1180
s1831,1181
s1832,1174
s1833,1182
s1834,1183
s1834,1184
s1836,1185
s1837,1186
s1837,1187
s1839,1188
s1841,444
s1843,1189
s1844,1190
s1845,1191
s1846,1192
s1847,1193
s1850,754
s1851,1194
s1854,1195
s1854,1196
s1856,1197
s1856,1198
s1857,1199
s1858,1200
s1859,1201
s1860,766
s1862,1202
s1863,1203
s1864,1204
s1866,1205
s1867,1157
s1868,864
s1870,1206
s1871,648
s1873,1207
s1875,1208
s1875,1209
s1877,1210
s1880,181
s1881,1211
s1882,1212
s1883,1213
s1884,1214
s1885,1215
s1887,1216
s1887,1217
s1887,1218
s1888,1219
s1889,1220
s1892,1221
s1893,17
s1893,18
s1897,257
s1898,1222
s1899,1223
s1900,655
s1901,1224
s1902,1225
s1903,1226
s1904,1227
s1905,1228
s1905,1229
s1906,1230
s1910,247
s1912,1231
s1913,1232
s1914,1233
s1914,1234
s1917,1235
s1920,1236
s1921,1237
s1922,1238
s1925,1239
s1927,1240
s1928,1241
s1931,1242
s1932,1243
s1935,1244
s1936,1245
s1937,1246
s1938,1244
s1939,1247
s1940,25
s1941,211
s1942,1201
s1943,25
s1944,1248
s1945,1202
s1946,1249
s1947,1250
s1951,1251
s1954,647
s1958,1252
s1960,1253
s1961,1254
s1961,1255
s1963,1256
s1964,1257
s1965,1258
s1966,1258
s1966,1259
s1967,1258
s1967,1259
s1968,1260
s1969,1258
s1970,1258
s1971,1261
s1972,1262
s1973,1263
s1975,1264
s1976,1265
s1977,1266
s1978,1267
s1982,1268
s1983,1269
s1985,950
s1986,1270
s1987,1269
s1988,1271
s1993,1272
s1996,1273
s1997,1274
s1998,1275
s1999,1276
s2000,1277
s2001,1278
s2002,1279
s2004,63
